40893,0.299847,0.352069
71101,0.288418,0.343708
101290,0.261885,0.319746
131517,0.233697,0.293864
161725,0.212334,0.274370
191933,0.197845,0.260930
222159,0.188078,0.253025
252367,0.182144,0.248413
282575,0.178403,0.244982
312765,0.175655,0.242190
342973,0.173512,0.239193
373181,0.171675,0.236763
403389,0.170243,0.235238
433578,0.169253,0.233519
463786,0.176145,0.227007
493994,0.200519,0.212450
524184,0.229416,0.194620
554392,0.254744,0.178612
584600,0.273167,0.166709
614808,0.285752,0.158444
645034,0.303273,0.151527
675242,0.317188,0.147550
705450,0.326661,0.145214
735658,0.332760,0.142880
765866,0.336905,0.140824
796074,0.339670,0.139089
826282,0.341517,0.137649
856490,0.341610,0.143566
886698,0.339736,0.168517
916906,0.337041,0.206800
947114,0.334939,0.244546
977322,0.333226,0.270572
1007549,0.332173,0.287419
1037757,0.331620,0.300404
1067965,0.331275,0.308758
1098191,0.331881,0.313416
1128399,0.331764,0.316880
1158607,0.324064,0.329447
1188815,0.316908,0.341668
1219041,0.310884,0.349202
1249231,0.307325,0.354316
1279439,0.304586,0.357405
1309665,0.302897,0.359560
1339873,0.302016,0.361695
1370081,0.301313,0.362772
1400289,0.300649,0.364257
1430516,0.299348,0.366110
1460724,0.297765,0.369167
1490932,0.296409,0.371230
1521121,0.295408,0.373301
1551348,0.294526,0.374986
1581556,0.293660,0.376149
1611764,0.292699,0.377048
1641990,0.291097,0.378420
1672198,0.274617,0.372166
1702425,0.218686,0.351972
1732651,0.145565,0.328292
1762877,0.092722,0.309388
1793104,0.059686,0.299357
1823358,0.042561,0.295580
1853566,0.032135,0.294055
1883792,0.025419,0.292696
1914019,0.020933,0.291443
1944227,0.017697,0.290424
1974435,0.015515,0.290134
2004643,0.013743,0.290271
2034851,0.012119,0.290597
2065077,0.010409,0.290315
2095285,0.008925,0.290291
2125493,0.007478,0.289888
2155683,0.006442,0.289127
2185909,0.017756,0.284222
2216099,0.069471,0.266563
2246307,0.131713,0.246471
2276496,0.177121,0.231073
