10629,-119.360916,-94.379311,627.570312,-56.100994,-83.562935,631.351013
40893,-119.398987,-94.610718,628.131165,-56.212311,-83.719063,631.907166
71101,-119.578842,-94.698311,627.734863,-56.726143,-83.786888,631.502563
101290,-119.810822,-94.433968,629.141663,-57.002037,-83.496246,632.768188
131517,-119.772255,-94.385010,629.235413,-57.050434,-83.363846,632.878540
161725,-119.845093,-94.321701,629.838684,-57.136429,-83.205154,633.496765
191933,-119.970352,-94.144493,631.102112,-57.237511,-82.973701,634.717651
222159,-119.988701,-93.902657,632.597229,-57.186466,-82.690338,636.110718
252367,-119.750954,-93.713264,633.441101,-56.914288,-82.503822,636.862000
282575,-119.431374,-93.410995,634.554443,-56.510769,-82.268951,637.990479
312765,-119.082565,-93.106987,635.861389,-56.050797,-82.053963,639.301575
342973,-118.698692,-92.896530,637.041443,-55.530212,-81.959717,640.436340
373181,-118.304314,-92.782120,637.903137,-55.040493,-81.946129,641.331482
403389,-118.079613,-92.628624,638.851074,-54.702396,-81.853600,642.339661
433578,-118.018562,-92.442223,639.888916,-54.513969,-81.697243,643.385071
463786,-117.656418,-92.188583,640.545227,-54.015846,-81.529915,643.777100
493994,-117.235237,-91.975365,641.540222,-53.623810,-81.284027,644.974792
524184,-117.200142,-91.970039,641.794189,-53.591286,-81.252197,645.165222
554392,-117.227798,-91.923386,642.219482,-53.582733,-81.186829,645.549255
584600,-117.204582,-91.936180,642.221313,-53.567101,-81.173920,645.541260
614808,-117.182663,-91.968346,642.116882,-53.564148,-81.198578,645.418274
645034,-116.933685,-92.039429,641.790588,-53.353619,-81.295570,644.934265
675242,-116.748871,-92.203445,641.014893,-53.291840,-81.445618,644.364868
705450,-116.831131,-92.175079,641.648743,-53.320866,-81.419716,644.948975
735658,-116.900421,-92.223259,642.038269,-53.348907,-81.452209,645.341431
765866,-116.968246,-92.281616,642.353455,-53.384003,-81.492004,645.632935
796074,-117.042145,-92.350868,642.688416,-53.424820,-81.554108,645.984680
826282,-117.140984,-92.399384,643.144104,-53.476589,-81.585838,646.433777
856490,-117.397995,-92.544624,643.781128,-53.724072,-81.705627,647.173950
886698,-117.691940,-92.789589,644.074158,-54.020840,-81.892075,647.328613
916906,-117.973068,-92.670059,643.994934,-54.292847,-81.782677,647.315918
947114,-118.338127,-92.579697,643.828796,-54.642483,-81.650742,647.176270
977322,-118.773949,-92.549408,643.573547,-55.099571,-81.519341,646.940002
1007549,-119.330109,-92.528419,643.621765,-55.665894,-81.388771,647.037964
1037757,-119.921661,-92.536133,643.763489,-56.217480,-81.267921,647.138794
1067965,-120.547760,-92.569511,644.165588,-56.805473,-81.139603,647.617798
1098191,-121.129372,-92.650978,644.550476,-57.309227,-81.116707,647.888306
1128399,-121.654022,-92.794998,644.829895,-57.773945,-81.163567,648.222229
1158607,-122.201279,-93.224953,644.822021,-58.338078,-81.461052,648.218811
1188815,-122.723503,-93.375061,645.526306,-58.706997,-81.545708,648.835999
1219041,-123.099266,-93.558548,645.679565,-59.029213,-81.655151,649.058167
1249231,-123.398857,-93.779984,645.558777,-59.300671,-81.854324,648.846191
1279439,-123.622543,-94.087044,645.027466,-59.532280,-82.105080,648.352600
1309665,-123.891014,-94.307220,645.034607,-59.813168,-82.260704,648.369751
1339873,-124.087860,-94.496437,644.929810,-60.024284,-82.409660,648.199463
1370081,-124.174477,-94.753059,644.308105,-60.186672,-82.614861,647.559326
1400289,-124.232391,-95.015617,643.796509,-60.314487,-82.779434,647.008423
1430516,-124.306389,-95.278297,643.562988,-60.396187,-82.969826,646.779236
1460724,-124.268143,-95.469864,643.377075,-60.380314,-83.141594,646.498352
1490932,-124.110970,-95.657768,642.977112,-60.295963,-83.297714,646.097168
1521121,-123.923538,-95.803177,642.472656,-60.166264,-83.437233,645.536316
1551348,-123.815865,-95.898537,642.244141,-60.077091,-83.487350,645.348450
1581556,-123.810257,-95.943314,642.354614,-60.086582,-83.462746,645.424500
1611764,-123.903061,-95.940575,642.488892,-60.228867,-83.341408,645.557739
1641990,-124.224510,-95.972778,642.680847,-60.585827,-83.151520,645.709229
1672198,-125.243355,-96.389290,641.070374,-61.938660,-83.087128,644.038757
1702425,-126.294754,-96.565880,641.176086,-63.285107,-82.851913,644.067627
1732651,-127.220909,-96.824051,640.762329,-64.472870,-82.680641,643.750427
1762877,-128.125885,-97.116341,640.087097,-65.697136,-82.578453,643.113220
1793104,-128.922653,-97.415787,639.678040,-66.849258,-82.523438,642.697815
1823358,-129.725006,-97.415787,640.820862,-67.699722,-82.371712,643.376526
1853566,-130.295502,-97.554710,641.343323,-68.381386,-82.323738,643.566895
